t,p
0.0,0.18892100159978636
1.0,0.19091040709190055
2.0,0.194432673993314
3.0,0.19917810676108952
4.0,0.2048819716336305
5.0,0.21131890174048162
6.0,0.21829773344627693
7.0,0.22565702579928776
8.0,0.23326115812105927
9.0,0.2409969333877494
10.0,0.24877041483290774
11.0,0.25650438093656086
12.0,0.26413596398146033
13.0,0.2716146094151473
14.0,0.2789003128379029
15.0,0.28596206449839934
16.0,0.2927765145292346
17.0,0.29932677639883315
18.0,0.3056014169734897
19.0,0.3115935763213048
20.0,0.317300193599389
21.0,0.3227213496511384
22.0,0.32785932413356256
23.0,0.33278157899228455
24.0,0.3377674196239163
25.0,0.34307194034784283
26.0,0.3488714562167014
27.0,0.3552787940431554
28.0,0.3623566294295613
29.0,0.37012828973267786
30.0,0.37858667554770664
31.0,0.38770176049543925
32.0,0.39742673632842707
33.0,0.40770302694068367
34.0,0.4184643551795338
35.0,0.42964000236559446
36.0,0.4411574026727378
37.0,0.4529441722734433
38.0,0.46492967266160246
39.0,0.47704618422966616
40.0,0.4892297590225862
41.0,0.5014208133363801
42.0,0.513564504707209
43.0,0.5256109399736157
44.0,0.5375151066865614
45.0,0.5492402440692378
46.0,0.5607876759866611
47.0,0.5722124410251144
48.0,0.583604961273312
49.0,0.5950742203417666
50.0,0.6067352483525215
51.0,0.6187000545243011
52.0,0.631071298607795
53.0,0.6439381159664103
54.0,0.657373626173091
55.0,0.6714337271479949
56.0,0.6861568539525049
57.0,0.7015644421477538
58.0,0.7176618878671679
59.0,0.7344398396431271
60.0,0.7518756924386223
61.0,0.7699351845533119
62.0,0.7885740222283246
63.0,0.8077394780020503
64.0,0.8273719253416908
65.0,0.8474062857995638
66.0,0.8677733639945614
67.0,0.888401164439778
68.0,0.90921906766741
69.0,0.9301667831492775
70.0,0.9512011792708414
71.0,0.9722986351307374
72.0,0.9934540431736961
73.0,1.0146774270531593
74.0,1.035988868241019
75.0,1.0574122043951881
76.0,1.078967777049805
77.0,1.1006643567741599
78.0,1.1224902648774284
79.0,1.1444036515155684
80.0,1.166321897551447
81.0,1.1881102090546423
82.0,1.209569704109815
83.0,1.2304256886824134
84.0,1.2503174020799332
85.0,1.268791254915226
86.0,1.2853003013441855
87.0,1.2992131920693752
88.0,1.3098372367692437
89.0,1.3164543413458099
90.0,1.3183724485018986
91.0,1.314984703066744
92.0,1.3058275093768072
93.0,1.2906257128807586
94.0,1.26931892623089
95.0,1.2420680251584129
96.0,1.2092395424186382
97.0,1.1713743203768792
98.0,1.1291493707275404
99.0,1.083331590049069
100.0,1.0347359050122038
101.0,0.9841868766089754
102.0,0.9324863914405918
103.0,0.8803880595812263
104.0,0.8285786060329081
105.0,0.7776662872368092
106.0,0.7281753459140453
107.0,0.6805460602320885
108.0,0.6351397176284919
109.0,0.5922478608955323
110.0,0.5521057597133299
111.0,0.5149096450419345
112.0,0.4808382601212692
113.0,0.45007925700213275
114.0,0.4228644502823758
115.0,0.39951303730174
116.0,0.38049596524574913
117.0,0.3665176873142538
118.0,0.3586237017179652
119.0,0.3583175061550801
120.0,0.3676324419018202
121.0,0.38901697397074053
122.0,0.42479197130657426
123.0,0.4759964367934746
124.0,0.5409757902282042
125.0,0.6148564075337326
126.0,0.6908142055465747
127.0,0.7623708223184696
128.0,0.8250181793157333
129.0,0.8765030011832098
130.0,0.9162950094359879
131.0,0.944902083237431
132.0,0.9633620919695416
133.0,0.9729283036641276
134.0,0.9749062558751924
135.0,0.970575184763413
136.0,0.9611623327502898
137.0,0.9478431395180453
138.0,0.9317620749004177
139.0,0.9140678880115164
140.0,0.8959668047490453
141.0,0.8787918293805155
142.0,0.8640873682307096
143.0,0.8536808648236704
144.0,0.849690569600743
145.0,0.8543623300800123
146.0,0.8696329007275378
147.0,0.8964059827739417
148.0,0.9336473346810664
149.0,0.9775523108773507
150.0,1.0216765510469172
151.0,1.0591269989695127
152.0,1.085697353706751
153.0,1.1010818478297033
154.0,1.1076920747152428
155.0,1.1089212873630798
156.0,1.1080363130897253
157.0,1.1077145870362601
158.0,1.1099092404949784
159.0,1.1158281442962503
160.0,1.1259473963109932
161.0,1.1400664927055875
